MRR,gMRR,Frage
0.1,0.1,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.0007716049382716049,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,0.00411522633744856,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.015625,Gibt es einen Grund für das Handeln?
1e-17,0.0625,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0005333333333333334,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.0004,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.0008,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.0024691358024691358,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.010416666666666666,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,0.0007716049382716049,"Wollen, Absicht, Handlung"
1e-17,0.0125,Der Wille in der Welt existiert.
1e-17,1e-17,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0001286008230452675,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,0.00019290123456790122,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.006250000000000013,0.01320150462962963,Gesamt
