MRR,gMRR,Frage
0.25,0.25,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.001953125,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1.0,1.0,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.0078125,Gibt es einen Grund für das Handeln?
1e-17,0.015625,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.00411522633744856,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.001763668430335097,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.00411522633744856,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.012345679012345678,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.0016,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1.0,1.0,"Wollen, Absicht, Handlung"
1e-17,0.0625,Der Wille in der Welt existiert.
1e-17,0.0016,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0007716049382716049,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,0.012345679012345678,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.0012345679012345679,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.140625,0.14861139231058937,Gesamt
