MRR,gMRR,Frage
0.25,0.25,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1.0,1.0,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
0.5,0.5,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.010416666666666666,Gibt es einen Grund für das Handeln?
1e-17,0.012345679012345678,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0625,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.015625,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.0015432098765432098,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.006172839506172839,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.015625,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,0.012345679012345678,"Wollen, Absicht, Handlung"
1e-17,0.0625,Der Wille in der Welt existiert.
1e-17,0.006172839506172839,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0006510416666666666,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.0007716049382716049,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.109375,0.12229184751157408,
