MRR,gMRR,Frage
1e-17,0.00205761316872428,Determinismus
0.125,0.125,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.00390625,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,1e-17,freier Wille
1e-17,0.0005580357142857143,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.0005333333333333334,Gibt es einen Grund für das Handeln?
1e-17,1e-17,Linguistik
1e-17,0.0013717421124828531,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.000257201646090535,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.0007716049382716049,Sprachlichkeit
1e-17,0.00015432098765432098,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,1e-17,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.00022857142857142857,ratio cognoscendi
1e-17,1e-17,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,1e-17,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,1e-17,Handeln
1e-17,1e-17,"Wollen, Absicht, Handlung"
1e-17,0.015625,Der Wille in der Welt existiert.
1e-17,1e-17,Künstliche Intelligenz
1e-17,1e-17,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00022857142857142857,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,Bundeskanzler
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.005208333333333333,0.006278843531582731,
