MRR,gMRR,Frage
1e-17,0.0013020833333333333,Determinismus
1e-17,0.00390625,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.0013717421124828531,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,1e-17,freier Wille
1e-17,0.0001286008230452675,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.000390625,Gibt es einen Grund für das Handeln?
1e-17,1e-17,Linguistik
1e-17,0.0016,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0007716049382716049,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.00019290123456790122,Sprachlichkeit
1e-17,0.000257201646090535,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.0001286008230452675,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.0007716049382716049,ratio cognoscendi
1e-17,0.0007716049382716049,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.001953125,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,1e-17,Handeln
1e-17,0.00390625,"Wollen, Absicht, Handlung"
1e-17,1e-17,Der Wille in der Welt existiert.
1e-17,1e-17,Künstliche Intelligenz
1e-17,0.0024691358024691358,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00048828125,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,9.645061728395061e-05,Bundeskanzler
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
9.999999999999996e-18,0.000854419269047214,
