MRR,gMRR,Frage
1.0,1.0,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
0.3333333333333333,0.3333333333333333,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1.0,1.0,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.020833333333333332,Gibt es einen Grund für das Handeln?
1e-17,0.0625,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
0.25,0.25,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.00015432098765432098,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.0001286008230452675,Welchen Einfluß hat die Sprache auf die Gedanken?
0.3333333333333333,0.3333333333333333,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.0016,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
0.3333333333333333,0.3333333333333333,"Wollen, Absicht, Handlung"
0.5,0.5,Der Wille in der Welt existiert.
1e-17,0.0024691358024691358,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0002,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,0.00032,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.0007716049382716049,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.234375,0.23993606224279837,Gesamt
