MRR,gMRR,Frage
1e-17,0.0016,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.00038580246913580245,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,0.006172839506172839,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.0007716049382716049,Gibt es einen Grund für das Handeln?
1e-17,0.0625,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,1e-17,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,8.573388203017832e-05,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,1e-17,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.0001286008230452675,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.000257201646090535,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,1e-17,"Wollen, Absicht, Handlung"
1e-17,0.008928571428571428,Der Wille in der Welt existiert.
1e-17,1e-17,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0004,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
9.999999999999998e-18,0.005076897168332358,
