MRR,gMRR,Frage
1e-17,0.0016,Determinismus
1.0,1.0,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1.0,1.0,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
0.5,0.5,freier Wille
0.1111111111111111,0.1111111111111111,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.012345679012345678,Gibt es einen Grund für das Handeln?
1e-17,0.00022857142857142857,Linguistik
1e-17,0.0625,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1.0,1.0,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1.0,1.0,Sprachlichkeit
1e-17,0.0625,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1.0,1.0,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.0007716049382716049,ratio cognoscendi
0.3333333333333333,0.3333333333333333,"Autonomie, Dualismus von Natur und Freiheit"
0.16666666666666666,0.16666666666666666,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,1e-17,Handeln
1e-17,0.00625,"Wollen, Absicht, Handlung"
1e-17,0.03125,Der Wille in der Welt existiert.
1e-17,0.006172839506172839,Künstliche Intelligenz
1e-17,0.006172839506172839,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00390625,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,0.0625,Bundeskanzler
1e-17,0.012345679012345678,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.015625,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.2546296296296296,0.2664699822714579,
