MRR,gMRR,Frage
1e-17,0.00078125,Determinismus
1.0,1.0,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.0125,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
0.3333333333333333,0.3333333333333333,freier Wille
0.25,0.25,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.0125,Gibt es einen Grund für das Handeln?
1e-17,1e-17,Linguistik
1e-17,0.012345679012345678,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0625,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.0125,Sprachlichkeit
1e-17,0.0625,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1.0,1.0,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.00390625,ratio cognoscendi
1e-17,0.015625,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.00390625,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,1e-17,Handeln
0.3333333333333333,0.3333333333333333,"Wollen, Absicht, Handlung"
1e-17,0.03125,Der Wille in der Welt existiert.
1e-17,0.0016,Künstliche Intelligenz
1e-17,0.0001286008230452675,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,8.573388203017832e-05,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,Bundeskanzler
1e-17,0.0016,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.0016,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.12152777777777778,0.1313331429326703,
