MRR,gMRR,Frage
1e-17,0.0625,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
0.125,0.125,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1.0,1.0,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.0625,Gibt es einen Grund für das Handeln?
1e-17,0.03125,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.03125,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
0.1,0.1,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.0013020833333333333,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.00015432098765432098,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.006944444444444444,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,0.012345679012345678,"Wollen, Absicht, Handlung"
1e-17,0.0625,Der Wille in der Welt existiert.
1e-17,0.0030864197530864196,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00205761316872428,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.0765625,0.09380566004372427,Gesamt
