MRR,gMRR,Frage
1e-17,0.020833333333333332,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.0008,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,0.0008,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.00205761316872428,Gibt es einen Grund für das Handeln?
1e-17,0.00205761316872428,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0016,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.0024691358024691358,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,8.573388203017832e-05,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,9.645061728395061e-05,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.03125,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,1e-17,"Wollen, Absicht, Handlung"
1e-17,0.0625,Der Wille in der Welt existiert.
1e-17,8.573388203017832e-05,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00019290123456790122,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.00038580246913580245,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
9.999999999999998e-18,0.007825894847393692,Gesamt
