MRR,gMRR,Frage
1e-17,0.0007716049382716049,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.001763668430335097,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
1e-17,0.00019290123456790122,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.00390625,Gibt es einen Grund für das Handeln?
1e-17,0.012345679012345678,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.0008,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.001763668430335097,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.00019290123456790122,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,1e-17,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,7.716049382716049e-05,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,0.001763668430335097,"Wollen, Absicht, Handlung"
1e-17,0.0013020833333333333,Der Wille in der Welt existiert.
1e-17,1e-17,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00019290123456790122,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,1e-17,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
9.999999999999998e-18,0.0015670304232804258,
