MRR,gMRR,Frage
0.5,0.5,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
0.5,0.5,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
0.5,0.5,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.00390625,Gibt es einen Grund für das Handeln?
1e-17,0.020833333333333332,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,1e-17,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.0012345679012345679,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.000257201646090535,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,9.645061728395061e-05,"Autonomie, Dualismus von Natur und Freiheit"
1e-17,0.020833333333333332,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
1e-17,0.012345679012345678,"Wollen, Absicht, Handlung"
1e-17,0.00625,Der Wille in der Welt existiert.
1e-17,1e-17,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.0007716049382716049,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,1e-17,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.00015432098765432098,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.09375,0.0979176713605967,
