MRR,gMRR,Frage
1.0,1.0,"Willkürfreiheit, zureichender Grund, natürliche und sittliche Notwendigkeit, Vereinigung von Freiheit und Naturnotwendigkeit"
1e-17,0.006944444444444444,Gibt es eine Verbindung von einem eindeutig deterministischen Grundansatz mit einer indeterministischen Verteidigung der formellen Zufälligkeit?
0.2,0.2,"Grund für das Handeln, Willensbegrenzung"
1e-17,0.012345679012345678,Gibt es einen Grund für das Handeln?
1e-17,0.00411522633744856,"analytische Philosophie, Metakritik des Purismus der Vernunft, Formalismus"
1e-17,0.015625,Welcher Sprachlichkeit oder Sprachbedingtheit unterliegt das Denken?
1e-17,0.008928571428571428,"Unterschiede in der Sprache, Wortbedeutung, Aussage"
1e-17,0.0024691358024691358,Welchen Einfluß hat die Sprache auf die Gedanken?
1e-17,0.0002666666666666667,"Autonomie, Dualismus von Natur und Freiheit"
0.14285714285714285,0.14285714285714285,Die Moral ist ein allgemeingültiges Gesetz und daher ein formales Prinzip.
0.16666666666666666,0.16666666666666666,"Wollen, Absicht, Handlung"
1e-17,0.020833333333333332,Der Wille in der Welt existiert.
1e-17,0.00019290123456790122,"KI, Machinenlernen, Tiefe neuronale Netze, Worteinbettung"
1e-17,0.00078125,Wobei handelt es sich bei Künstlicher Intelligenz? Wird sie ein Segen für die Menschheit sein und intelligente Lösungen komplexer Probleme liefern?
1e-17,0.006172839506172839,"Bundeskanzler, Wahl, Bundesregierung, Bundestag"
1e-17,0.0005333333333333334,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
0.0943452380952381,0.09929576191394766,Gesamt
